Time (s),Vehicle Count
0.0,3
0.03333333333333333,3
0.06666666666666667,3
0.1,3
0.13333333333333333,3
0.16666666666666666,3
0.2,3
0.23333333333333334,3
0.26666666666666666,3
0.3,3
0.3333333333333333,3
0.36666666666666664,3
0.4,3
0.43333333333333335,3
0.4666666666666667,3
0.5,2
0.5333333333333333,3
0.5666666666666667,3
0.6,2
0.6333333333333333,2
0.6666666666666666,2
0.7,2
0.7333333333333333,3
0.7666666666666667,3
0.8,2
0.8333333333333334,2
0.8666666666666667,3
0.9,3
0.9333333333333333,2
0.9666666666666667,2
1.0,2
1.0333333333333334,2
1.0666666666666667,3
1.1,3
1.1333333333333333,3
1.1666666666666667,3
1.2,3
1.2333333333333334,3
1.2666666666666666,2
1.3,3
1.3333333333333333,3
1.3666666666666667,3
1.4,3
1.4333333333333333,3
1.4666666666666666,3
1.5,3
1.5333333333333334,2
1.5666666666666667,2
1.6,2
1.6333333333333333,2
1.6666666666666667,2
1.7,2
1.7333333333333334,3
1.7666666666666666,3
1.8,3
1.8333333333333333,3
1.8666666666666667,3
1.9,3
1.9333333333333333,3
1.9666666666666666,3
2.0,2
2.033333333333333,3
2.066666666666667,2
2.1,3
2.1333333333333333,3
2.1666666666666665,3
2.2,2
2.2333333333333334,2
2.2666666666666666,2
2.3,2
2.3333333333333335,2
2.3666666666666667,2
2.4,2
2.433333333333333,2
2.466666666666667,2
2.5,2
2.533333333333333,2
2.566666666666667,2
2.6,2
2.6333333333333333,2
2.6666666666666665,2
2.7,2
2.7333333333333334,2
2.7666666666666666,2
2.8,2
2.8333333333333335,3
2.8666666666666667,3
2.9,2
2.933333333333333,2
2.966666666666667,2
3.0,2
3.033333333333333,2
3.066666666666667,3
3.1,2
3.1333333333333333,2
3.1666666666666665,2
3.2,2
3.2333333333333334,2
3.2666666666666666,2
3.3,2
3.3333333333333335,2
3.3666666666666667,2
3.4,2
3.433333333333333,2
3.466666666666667,2
3.5,2
3.533333333333333,2
3.566666666666667,2
3.6,3
3.6333333333333333,2
3.6666666666666665,2
3.7,3
3.7333333333333334,3
3.7666666666666666,3
3.8,3
3.8333333333333335,3
3.8666666666666667,3
3.9,3
3.933333333333333,3
3.966666666666667,3
4.0,3
4.033333333333333,3
4.066666666666666,2
4.1,3
4.133333333333334,2
4.166666666666667,2
4.2,2
4.233333333333333,2
4.266666666666667,2
4.3,2
4.333333333333333,2
4.366666666666666,2
4.4,2
4.433333333333334,2
4.466666666666667,2
4.5,2
4.533333333333333,2
4.566666666666666,2
4.6,2
4.633333333333334,2
4.666666666666667,2
4.7,2
4.733333333333333,2
4.766666666666667,2
4.8,2
4.833333333333333,2
4.866666666666666,2
4.9,2
4.933333333333334,2
4.966666666666667,2
5.0,2
5.033333333333333,2
5.066666666666666,2
5.1,2
5.133333333333334,2
5.166666666666667,2
5.2,2
5.233333333333333,2
5.266666666666667,2
5.3,3
5.333333333333333,3
5.366666666666666,3
5.4,3
5.433333333333334,3
5.466666666666667,3
5.5,3
5.533333333333333,3
5.566666666666666,3
5.6,3
5.633333333333334,3
5.666666666666667,3
5.7,3
5.733333333333333,3
5.766666666666667,3
5.8,3
5.833333333333333,3
5.866666666666666,3
5.9,3
5.933333333333334,4
5.966666666666667,4
6.0,3
6.033333333333333,3
6.066666666666666,4
6.1,3
6.133333333333334,3
6.166666666666667,3
6.2,3
6.233333333333333,3
6.266666666666667,4
6.3,3
6.333333333333333,4
6.366666666666666,4
6.4,4
6.433333333333334,4
6.466666666666667,4
6.5,4
6.533333333333333,4
6.566666666666666,4
6.6,3
6.633333333333334,4
6.666666666666667,3
6.7,4
6.733333333333333,4
6.766666666666667,4
6.8,4
6.833333333333333,4
6.866666666666666,4
6.9,4
6.933333333333334,5
6.966666666666667,5
7.0,5
7.033333333333333,5
7.066666666666666,5
7.1,5
7.133333333333334,4
7.166666666666667,4
7.2,4
7.233333333333333,4
7.266666666666667,4
7.3,4
7.333333333333333,4
7.366666666666666,4
7.4,4
7.433333333333334,4
7.466666666666667,4
7.5,4
7.533333333333333,4
7.566666666666666,4
7.6,3
7.633333333333334,4
7.666666666666667,3
7.7,3
7.733333333333333,3
7.766666666666667,3
7.8,3
7.833333333333333,3
7.866666666666666,3
7.9,3
7.933333333333334,3
7.966666666666667,3
8.0,3
8.033333333333333,3
8.066666666666666,3
8.1,3
8.133333333333333,3
8.166666666666666,3
8.2,3
8.233333333333333,4
8.266666666666667,4
8.3,4
8.333333333333334,4
8.366666666666667,4
8.4,4
8.433333333333334,4
8.466666666666667,4
8.5,4
8.533333333333333,4
8.566666666666666,4
8.6,4
8.633333333333333,4
8.666666666666666,4
8.7,4
8.733333333333333,3
8.766666666666667,3
8.8,3
8.833333333333334,3
8.866666666666667,3
8.9,4
8.933333333333334,4
8.966666666666667,4
9.0,4
9.033333333333333,4
9.066666666666666,4
9.1,4
9.133333333333333,4
9.166666666666666,4
9.2,4
9.233333333333333,4
9.266666666666667,4
9.3,4
9.333333333333334,4
9.366666666666667,4
9.4,4
9.433333333333334,5
9.466666666666667,5
9.5,5
9.533333333333333,4
9.566666666666666,4
9.6,4
9.633333333333333,5
9.666666666666666,4
9.7,4
